cycle	commit	bugid	added	deleted	file
activemq-5.0.0-activemq-5.1.0	290f51a1eb3ad92b8d3413f07a7f27856d05980a	AMQ-1699	1	0	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnector.java
activemq-5.0.0-activemq-5.1.0	5a27904d1d3279667254f4c51cd52489d29e2bc4	AMQ-1705	7	2	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java
activemq-5.0.0-activemq-5.1.0	824831420429f814491cd198f56e00506dec0bff	AMQ-1542	1	2	activemq-core/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java
activemq-5.0.0-activemq-5.1.0	824831420429f814491cd198f56e00506dec0bff	AMQ-1542	8	3	activemq-core/src/main/java/org/apache/activemq/util/IntrospectionSupport.java
activemq-5.0.0-activemq-5.1.0	a61e5bce1761f7f36eccaecce878e275186e0fac	AMQ-1509	0	4	activemq-core/src/main/java/org/apache/activemq/network/ConduitBridge.java
activemq-5.0.0-activemq-5.1.0	a61e5bce1761f7f36eccaecce878e275186e0fac	AMQ-1509	1	0	activemq-core/src/main/java/org/apache/activemq/network/DemandSubscription.java
activemq-5.0.0-activemq-5.1.0	7a238556e38924e679e3fa25dbc7857b040e056a	AMQ-1698	2	2	activemq-core/src/main/java/org/apache/activemq/transport/InactivityMonitor.java
activemq-5.0.0-activemq-5.1.0	b35bc797ecef9232235031478b13c72fb5345c24	AMQ-1702	14	5	activemq-core/src/main/java/org/apache/activemq/store/jdbc/DefaultDatabaseLocker.java
activemq-5.0.0-activemq-5.1.0	9341f1644234ef233d6762a91b7a298c361ec619	AMQ-1701	2	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/DataFile.java
activemq-5.0.0-activemq-5.1.0	aa62069349e7a38fb0f07d935c9130c099f6a958	AMQ-1696	1	1	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQConnectionSupport.java
activemq-5.0.0-activemq-5.1.0	aa62069349e7a38fb0f07d935c9130c099f6a958	AMQ-1696	19	3	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQResourceAdapter.java
activemq-5.0.0-activemq-5.1.0	e54a1261d53b078345852354bfed983c8abd0985	AMQ-1098	34	0	activemq-optional/src/main/java/org/apache/activemq/transport/https/HttpsClientTransport.java
activemq-5.0.0-activemq-5.1.0	e54a1261d53b078345852354bfed983c8abd0985	AMQ-1098	1	1	activemq-optional/src/main/java/org/apache/activemq/transport/https/HttpsTransportFactory.java
activemq-5.0.0-activemq-5.1.0	d8be50b617914487f3f84eeae2201ad684f1a7a4	AMQ-1686	14	15	activemq-core/src/main/java/org/apache/activemq/thread/PooledTaskRunner.java
activemq-5.0.0-activemq-5.1.0	d8be50b617914487f3f84eeae2201ad684f1a7a4	AMQ-1686	60	0	activemq-core/src/test/java/org/apache/activemq/thread/PooledTaskRunnerTest.java
activemq-5.0.0-activemq-5.1.0	44e0eaf1f4de3e020cb07ae20317f8bd8ea3c65f	AMQ-1681	10	11	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
activemq-5.0.0-activemq-5.1.0	44e0eaf1f4de3e020cb07ae20317f8bd8ea3c65f	AMQ-1681	3	3	activemq-core/src/main/java/org/apache/activemq/broker/region/TempQueue.java
activemq-5.0.0-activemq-5.1.0	44e0eaf1f4de3e020cb07ae20317f8bd8ea3c65f	AMQ-1681	1	1	activemq-core/src/main/java/org/apache/activemq/broker/region/TempTopic.java
activemq-5.0.0-activemq-5.1.0	44e0eaf1f4de3e020cb07ae20317f8bd8ea3c65f	AMQ-1681	5	6	activemq-core/src/main/java/org/apache/activemq/broker/region/Topic.java
activemq-5.0.0-activemq-5.1.0	cd1b1d661dd5676ea5be18fa8d8f9ae63b5ed558	AMQ-1685	3	5	assembly/src/release/bin/activemq
activemq-5.0.0-activemq-5.1.0	cd1b1d661dd5676ea5be18fa8d8f9ae63b5ed558	AMQ-1685	26	18	assembly/src/release/bin/activemq-admin
activemq-5.0.0-activemq-5.1.0	cd1b1d661dd5676ea5be18fa8d8f9ae63b5ed558	AMQ-1685	19	5	assembly/src/release/bin/activemq-admin.bat
activemq-5.0.0-activemq-5.1.0	cd1b1d661dd5676ea5be18fa8d8f9ae63b5ed558	AMQ-1685	2	7	assembly/src/release/bin/activemq.bat
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	0	2	activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/StoreDurableSubscriberCursor.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	63	41	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashBin.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	6	0	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashIndex.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	2	1	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashPageInfo.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	1	1	activemq-core/src/main/java/org/apache/activemq/store/kahadaptor/KahaReferenceStoreAdapter.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	4	2	activemq-core/src/main/java/org/apache/activemq/store/kahadaptor/KahaTopicReferenceStore.java
activemq-5.0.0-activemq-5.1.0	d3ebc9cd212b4048e4875ccbcd08bef29d414463	AMQ-1683	5	0	activemq-core/src/main/java/org/apache/activemq/util/LinkedNode.java
activemq-5.0.0-activemq-5.1.0	620b657216d73490b00d3fa2dfb69ce7edbb11d7	AMQ-1654	10	0	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq-5.0.0-activemq-5.1.0	620b657216d73490b00d3fa2dfb69ce7edbb11d7	AMQ-1654	19	17	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/MirroredQueue.java
activemq-5.0.0-activemq-5.1.0	18f97733267bc32ec18b5038ca618363daf2f4c2	AMQ-1678	2	2	activemq-core/src/main/java/org/apache/activemq/broker/region/BaseDestination.java
activemq-5.0.0-activemq-5.1.0	18f97733267bc32ec18b5038ca618363daf2f4c2	AMQ-1678	25	18	activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java
activemq-5.0.0-activemq-5.1.0	18f97733267bc32ec18b5038ca618363daf2f4c2	AMQ-1678	0	1	activemq-core/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java
activemq-5.0.0-activemq-5.1.0	18f97733267bc32ec18b5038ca618363daf2f4c2	AMQ-1678	12	15	activemq-core/src/test/java/org/apache/activemq/broker/jmx/MBeanTest.java
activemq-5.0.0-activemq-5.1.0	464402cd0e319f030595a1d206864d22d1f1d183	AMQ-1200	2	0	activemq-ra/pom.xml
activemq-5.0.0-activemq-5.1.0	464402cd0e319f030595a1d206864d22d1f1d183	AMQ-1200	1	1	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointActivationKey.java
activemq-5.0.0-activemq-5.1.0	464402cd0e319f030595a1d206864d22d1f1d183	AMQ-1200	5	0	activemq-ra/src/main/java/org/apache/activemq/ra/ServerSessionImpl.java
activemq-5.0.0-activemq-5.1.0	464402cd0e319f030595a1d206864d22d1f1d183	AMQ-1200	15	14	activemq-ra/src/test/java/org/apache/activemq/ra/ActiveMQAsfEndpointWorkerTest.java
activemq-5.0.0-activemq-5.1.0	464402cd0e319f030595a1d206864d22d1f1d183	AMQ-1200	70	1	activemq-ra/src/test/java/org/apache/activemq/ra/ServerSessionImplTest.java
activemq-5.0.0-activemq-5.1.0	35635f925d75a78552a8e05fe3f6d0751d565952	AMQ-1667	2	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashIndex.java
activemq-5.0.0-activemq-5.1.0	35635f925d75a78552a8e05fe3f6d0751d565952	AMQ-1667	1	14	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashPage.java
activemq-5.0.0-activemq-5.1.0	35635f925d75a78552a8e05fe3f6d0751d565952	AMQ-1667	2	2	activemq-core/src/main/java/org/apache/activemq/kaha/impl/index/hash/HashPageInfo.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	4	0	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractRegion.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	1	6	activemq-core/src/main/java/org/apache/activemq/broker/region/AbstractSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	7	0	activemq-core/src/main/java/org/apache/activemq/broker/region/CompositeDestinationInterceptor.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	0	2	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationFilter.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	2	0	activemq-core/src/main/java/org/apache/activemq/broker/region/DestinationInterceptor.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	13	12	activemq-core/src/main/java/org/apache/activemq/broker/region/DurableTopicSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	11	6	activemq-core/src/main/java/org/apache/activemq/broker/region/PrefetchSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	2	4	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueBrowserSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	3	10	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueRegion.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	2	5	activemq-core/src/main/java/org/apache/activemq/broker/region/QueueSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	2	10	activemq-core/src/main/java/org/apache/activemq/broker/region/TempQueueRegion.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	1	3	activemq-core/src/main/java/org/apache/activemq/broker/region/TempTopicRegion.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	3	10	activemq-core/src/main/java/org/apache/activemq/broker/region/TopicRegion.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	2	5	activemq-core/src/main/java/org/apache/activemq/broker/region/TopicSubscription.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/CompositeDestination.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	1	0	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/CompositeQueue.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	17	0	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/MirroredQueue.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	5	1	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/VirtualDestinationInterceptor.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	4	0	activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/VirtualTopic.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	7	6	activemq-core/src/test/java/org/apache/activemq/advisory/TempDestLoadTest.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	1	1	activemq-core/src/test/java/org/apache/activemq/advisory/TempQueueMemoryTest.java
activemq-5.0.0-activemq-5.1.0	16f2d753e8f96c35910971c5994c9f84778f63ba	AMQ-1672	17	1	activemq-core/src/test/java/org/apache/activemq/broker/virtual/MirroredQueueTest.java
activemq-5.0.0-activemq-5.1.0	54a93378acfcd949d723b74a22f19fb080974e4f	AMQ-1674	1	2	activemq-core/src/main/java/org/apache/activemq/store/kahadaptor/KahaReferenceStore.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	4	6	activemq-core/src/main/java/org/apache/activemq/broker/BrokerService.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/broker/SslBrokerService.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	0	1	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnection.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	62	68	activemq-core/src/main/java/org/apache/activemq/broker/TransportConnector.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	2	2	activemq-core/src/main/java/org/apache/activemq/broker/jmx/ManagedTransportConnector.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/proxy/ProxyConnector.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	13	6	activemq-core/src/main/java/org/apache/activemq/transport/TransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/discovery/DiscoveryTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/failover/FailoverTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/fanout/FanoutTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/mock/MockTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/peer/PeerTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/tcp/SslTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/tcp/TcpTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/main/java/org/apache/activemq/transport/udp/UdpTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	3	2	activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransportFactory.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	0	1	activemq-core/src/test/java/org/apache/activemq/AMQDeadlockTest3.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	2	2	activemq-core/src/test/java/org/apache/activemq/ClientTestSupport.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	17	18	activemq-core/src/test/java/org/apache/activemq/network/NetworkTestSupport.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/test/java/org/apache/activemq/transport/tcp/InactivityMonitorTest.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/test/java/org/apache/activemq/transport/tcp/SslTransportFactoryTest.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/test/java/org/apache/activemq/transport/tcp/WireformatNegociationTest.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	1	1	activemq-core/src/test/java/org/apache/activemq/transport/udp/UdpTransportUsingServerTest.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	0	1	activemq-core/src/test/java/org/apache/activemq/usecases/AMQDeadlockTestW4Brokers.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	0	1	activemq-core/src/test/java/org/apache/activemq/usecases/AMQFailoverIssue.java
activemq-5.0.0-activemq-5.1.0	5d99c99ab72fb500d66e07fe346dfd64ce7460ac	AMQ-1670	0	1	activemq-core/src/test/java/org/apache/activemq/usecases/AMQStackOverFlowTest.java
activemq-5.0.0-activemq-5.1.0	18aa1596a23204ee633ace18b63e8d2323c389b1	AMQ-1666	1	0	activemq-core/src/main/java/org/apache/activemq/transport/vm/VMTransportFactory.java
activemq-5.0.0-activemq-5.1.0	9034af7cf40820c73634c654b0400c33edb3d7d3	AMQ-1669	3	3	activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/AsyncDataManager.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	2	2	activemq-ra/pom.xml
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	11	8	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQConnectionFactory.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	7	2	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQConnectionRequestInfo.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	388	0	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQConnectionSupport.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	86	240	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQManagedConnectionFactory.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	10	314	activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQResourceAdapter.java
activemq-5.0.0-activemq-5.1.0	8733d172ae5eeb0ce7b3d3b961901588d717d332	AMQ-765	0	13	activemq-ra/src/main/java/org/apache/activemq/ra/MessageResourceAdapter.java
